AÑO;IDNOREMP;CORRELA;IDOJ1;IDAIO;BRUTA;ARRIENDO;SERV_INT;PUBLICI;TRANSP;SERV_EXT;TOTAL_REM;VENTA;TOT_PERSO;INV_PRO;CTO
2014;984626;472;14;2012;503735;30000;32061;;;;275970;4006607;16;7805;3502872
2014;984623;472;14;2012;727818;54811;62125;57503;26122;2927;263644;7198085;25;742263;6470267
2014;984621;472;11;2010;1775128;;133800;26105;1311;28748;552628;14614756;51;1118566;12839628
2014;984605;472;11;2006;;;;;;;;2091335;12;;
2014;984604;472;11;2004;420351;;53161;;660;2299;239937;2891366;19;555500;2471015
2014;984599;472;11;1988;280614;;29879;;12500;2000;281673;2371717;24;308000;2091103
2014;984598;472;11;1998;72566;;4868;;;;236267;771220;22;216835;698654
2014;984591;472;14;2010;333927;4330;54542;350;3652;560;359162;3575928;29;171276;3242001
2014;984578;472;11;1990;514879;15239;37379;;3252;31921;159449;6439669;14;49200.5;5924790
2014;984571;472;11;2000;666133;49652;56074;16745;45397;23857;296622;6125745;28;555267.5;5459612
2014;984565;472;11;2005;1252116;107999;100768;6027;24433;72886;363386;7513464;35;41028;6261348
2014;984564;472;11;2000;1402286;179821;166254;365;56520;48401;617420;12144503;52;412086.5;10742217
2014;984551;472;11;1997;;;;;;;;2342242;17;;
2014;984547;472;11;2006;633335;9700;68677;2112;24860;32807;243235;4995340;23;252456.5;4362005
2014;984546;472;11;2002;483748;;65670;;;335;257570;3869987;23;284880.5;3386239
2014;984533;472;11;2002;;;;;;;;1610000;14;;
2014;984531;472;11;2004;426425;;64383;;;;262315;2184551;23;178344;1758126
2014;984530;472;11;2005;477231;6310;74088;;5;68;337705;2142274;30;64408.5;1665043
2014;984529;472;11;1990;358826;;10947;;;14802;263453;6126502;26;302850;5767676
2014;984521;472;11;1972;633790;;139179;34461;19760;78108;521031;6209000;36;441540.5;5575210
2014;984514;472;11;2001;894964;;104646;289;58396;8832;240124;11741627;18;1220956;10846663
2014;984513;4711;11;2004;;;;;;;;797543;14;;
2014;984503;472;11;1993;48139;10800;1841;195;3421;;109824;133824;11;34270.5;85685
2014;984498;472;11;1996;;;;;;;;2542343;17;;
2014;984439;472;14;1998;742215;;103296;17259;90658;32697;505755;4701732;33;672158.5;3959517
2014;984422;472;4;2001;658939;66879;42919;55636;57437;15371;243763;5620533;23;187274;4961594
2014;984386;472;4;2002;597806;45000;86200;2000;;;687604;997806;60;77497;400000
2014;984334;472;14;2006;396775;21103;16907;;400;13697;232415;3466464;20;93395.5;3069689
2014;984311;472;14;2007;6655195;601156;447246;170684;250728;577544;726449;64273970;211;3245259.5;57618775
2014;984306;472;14;2008;599555;42000;48700;2500;2500;7100;199000;868920;15;274628;269365
2014;984297;472;4;0;;;;;;;;16217243.4;;;
2014;984291;4711;14;2008;2662768;49909;60181;224;91553;98570;804116;6501404;35;915947.5;3838636
2014;984267;472;5;2009;1800295;22760;38589;;;111965;540506;9266295;23;409492;7466000
